City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,holualoa,19.6228,-155.9522,22.13,89,28,0.84,US,1731302518
257,zhezqazghan,47.7833,67.7667,1.32,86,75,8.0,KZ,1731302414
258,manoc-manoc,11.9416,121.9428,29.04,77,100,5.59,PH,1731302520
259,cabo san lucas,22.8909,-109.9124,23.75,72,7,4.68,MX,1731302406
260,codrington,-38.2667,141.9667,15.55,73,71,8.31,AU,1731302523
261,moyobamba,-6.05,-76.9667,18.48,100,68,0.34,PE,1731302524
262,bubaque,11.2833,-15.8333,28.84,55,0,2.93,GW,1731302525
263,terra santa,-2.1042,-56.4869,26.33,58,26,1.53,BR,1731302526
264,minas de marcona,-15.2119,-75.1103,13.21,87,72,3.76,PE,1731302527
265,ballina,-28.8667,153.5667,21.59,94,98,1.76,AU,1731302528
266,westport,41.1415,-73.3579,14.9,93,100,6.69,US,1731302529
267,ulladulla,-35.35,150.4667,19.78,70,100,5.18,AU,1731302530
268,alta,69.9689,23.2717,2.59,81,75,5.81,NO,1731302531
269,polyarnyy,69.1989,33.4478,2.99,74,100,7.7,RU,1731302532
270,nyagan,62.1406,65.3936,-11.43,84,49,5.17,RU,1731302533
271,tsetserleg,47.475,101.4542,0.4,29,26,1.3,MN,1731302534
272,miyaly,48.8844,53.7836,3.03,80,90,3.03,KZ,1731302415
273,east ballina,-28.8667,153.5833,21.59,94,98,1.76,AU,1731302538
274,kirakira,-10.4544,161.9205,27.91,81,100,3.16,SB,1731302539
275,gebeit,21.0667,36.3167,22.98,74,100,4.95,SD,1731302540
276,frontera,26.9333,-101.45,22.16,64,0,1.79,MX,1731302431
277,el calafate,-50.3408,-72.2768,6.8,78,94,3.91,AR,1731302260
278,villa gesell,-37.2639,-56.973,13.7,87,100,4.54,AR,1731302439
279,saint-paul,-21.0096,55.2707,28.89,87,28,1.4,RE,1731302544
280,saldanha,-33.0117,17.9442,15.56,78,7,4.5,ZA,1731302545
281,tiksi,71.6872,128.8694,-16.35,97,96,1.13,RU,1731302546
282,souillac,-20.5167,57.5167,27.21,74,40,5.14,MU,1731302547
283,corn island,12.1694,-83.0418,28.34,74,89,4.6,NI,1731302533
284,lazaro cardenas,17.9583,-102.2,25.74,86,15,1.7,MX,1731302549
285,san-pedro,4.7485,-6.6363,24.56,90,27,2.0,CI,1731302550
286,kuusamo,65.9667,29.1833,-2.98,100,100,3.6,FI,1731302552
287,yuzhno-kurilsk,44.0306,145.8556,7.91,63,54,10.34,RU,1731302553
288,touros,-5.1989,-35.4608,25.98,70,100,5.67,BR,1731302554
289,telimele,10.9167,-13.3333,20.27,69,0,1.17,GN,1731302555
290,hell-ville,-13.4,48.2667,29.93,78,75,2.06,MG,1731302556
291,kainantu,-6.2887,145.8655,20.82,82,100,1.68,PG,1731302557
292,krasnogorskoye,52.2953,86.1979,1.96,89,100,1.66,RU,1731302559
293,seminole,28.7086,-81.2081,22.84,86,0,2.06,US,1731302560
294,ginir,7.1333,40.7,17.2,68,73,1.49,ET,1731302561
295,ancud,-41.8697,-73.8203,7.3,79,7,2.21,CL,1731302562
296,arnold,53.0,-1.1333,8.14,91,100,3.02,GB,1731302564
297,pitimbu,-7.4706,-34.8086,25.29,76,66,3.64,BR,1731302565
298,fiuggi,41.7986,13.2203,8.87,85,4,1.97,IT,1731302566
299,as sulayyil,20.4607,45.5779,22.12,38,10,2.92,SA,1731302567
300,ciudad lazaro cardenas,17.9583,-102.2,25.74,86,15,1.7,MX,1731302568
301,deder,9.3167,41.45,15.95,39,64,2.31,ET,1731302569
302,zyrya,40.3661,50.2917,10.05,82,100,1.71,AZ,1731302570
303,siocon,7.7061,122.1353,29.93,71,90,2.43,PH,1731302571
304,tual,-5.6667,132.75,28.68,74,100,5.85,ID,1731302572
305,fale old settlement,-9.3852,-171.2468,28.2,76,48,6.12,TK,1731302573
306,port alfred,-33.5906,26.891,15.66,96,100,3.47,ZA,1731302433
307,nelson bay,-32.7167,152.15,20.61,97,100,3.13,AU,1731302575
308,ihosy,-22.4,46.1167,25.22,64,9,2.13,MG,1731302576
309,cannonvale,-20.2833,148.7,26.66,68,38,4.38,AU,1731302577
310,kapa'a,22.0752,-159.319,24.18,92,100,8.75,US,1731302579
311,selfoss,63.9331,-20.9971,6.14,87,100,5.19,IS,1731302580
312,abaza,52.655,90.0928,2.11,81,100,1.09,RU,1731302581
313,okhotsk,59.3833,143.3,-9.21,66,100,9.6,RU,1731302582
314,taroa,8.7058,171.2275,27.98,78,5,5.64,MH,1731302584
